Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-08 04:40:01.449000,,"{""recipient_id"": ""46d678ee-4d0c-49cc-8a36-8fb569ff002a"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-08 04:40:01.459000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,04378a0efcad4a4dace935900d3cc6a0,Hello ,2025-06-08 04:40:01.469000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Hello""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""infotumiii@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1930877537776750593""}]}"
web,WEBCHAT,04378a0efcad4a4dace935900d3cc6a0,Hello ,2025-06-08 04:40:24.918744,"Hi, it says my account is still pending how much longer can I expect to wait until my account is ready?",{}
bot,WEBCHAT,BOT,BOT,2025-06-08 04:40:31.588831," Hi there! If your account is pending due to business verification, please provide the following details by emailing adsupport@newsbreak.com with the subject line: Business Verification –

- Company's full address
- Company's legal entity name
- Account Email
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
- Business URL

Once we receive this information, we will conduct a thorough review and update you on your account status. We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners. If you have any questions, please don't hesitate to reach out.",{}
web,WEBCHAT,04378a0efcad4a4dace935900d3cc6a0,Hello ,2025-06-08 04:41:13.606015,I already submitted docs,{}
bot,WEBCHAT,BOT,BOT,2025-06-08 04:41:23.494620,Thanks for letting me know! I'll check on the status of your account verification and get back to you shortly.,{}
bot,WEBCHAT,BOT,BOT,2025-06-08 04:41:23.934578,"Thank you for submitting the documents. Since your account is still pending, it might be under review by our Ad Operations and Trust & Safety teams. If you have already submitted all required information, please allow some time for the review process to be completed. If you need further assistance or updates, feel free to reach out to adsupport@newsbreak.com.",{}
web,WEBCHAT,04378a0efcad4a4dace935900d3cc6a0,Hello ,2025-06-08 04:41:37.689699,Thanks,{}
bot,WEBCHAT,BOT,BOT,2025-06-08 04:41:43.791387," You're welcome! If you have any more questions or need further assistance, feel free to reach out. Have a great day!",{}
