Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-04 08:20:02.980000,,"{""recipient_id"": ""eccbc991-4b49-4c4f-9323-25a358a22ca6"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-04 08:20:02.990000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:20:03.000000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Sharath""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""sharathshetty987@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1846875459883298818""}]}"
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:20:15.707312,there?,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:20:22.381631, Hi there! How can I assist you today?,{}
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:21:13.121635,do we have any other payment option than credit card?,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:21:24.981497," Yes, we offer an invoicing (postpaid) payment option as well. You can contact your NewsBreak seller for more information on this. Additionally, you can pre-load your account with ad credits using either a credit card or bank transfer.",{}
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:21:56.745450,how to do with bank transfer? how long it will take to credit?,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:22:06.540692," For a bank transfer, you would need to wire funds to us, and once we confirm the wire, we can add credits to your account. The time it takes for the credits to be added can vary depending on the bank's processing time, but typically it should be completed within a few business days. If you need more specific details on where to send the wire, please let me know!",{}
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:22:28.672120,and how to get invoice account?,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:23:18.395752," To set up an invoicing (postpaid) account, you would need to discuss this option with your NewsBreak seller. They can provide you with the necessary details and requirements to qualify for postpay billing. If you have any more questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:24:22.645510,how to contact newsbreak seller?,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:24:33.229388," To contact your NewsBreak seller, you can reach out to them directly if you have their contact information. If you're unsure who your seller is or need assistance in connecting with them, you can email adsupport@newsbreak.com for guidance. They'll be able to help you get in touch with the right person.",{}
web,WEBCHAT,aa52448a8e4349c4993263b9c7886b3f,Sharath ,2025-07-04 08:25:29.573896,okay,{}
bot,WEBCHAT,BOT,BOT,2025-07-04 08:25:41.850547," Great! If you have any more questions or need further assistance, feel free to reach out. Have a wonderful day!",{}
