file,topics,user_tasks,solved,needs_human,failure_category,missing_feature,feature_category,why_unsolved,improvement_needed,capabilities,success_patterns,demonstrated_skills,user_satisfaction_indicators,conversation_flow,escalation_triggers,error_patterns,user_emotion,conversation_complexity,feature_priority_score,improvement_effort
Acute Karate 4ff2238e0d--2025-05-29 12:26:12.610398--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Affable Sport 795040a475--2025-02-26 00:47:34.786516--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Git f979aca0cb--2025-03-30 19:40:57.996464--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Allegro Column 5ed9fe2898--2025-04-04 07:02:34.357468--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Acoustic Coordinate c2a102407c--2025-04-22 03:05:27.053518--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Vault 17f885e90d--2025-03-06 18:19:48.765735--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Abstract Overpass 7655f4c572--2025-05-06 16:29:04.192025--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Adagio Edge fb88cd7e3a--2025-03-19 04:42:29.516263--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Adagio Lumber 7ffd3d685b--2025-05-06 07:41:56.084939--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
Agile Assistant 8a021217e3--2025-03-01 13:35:47.082492--WEBCHAT.csv,incomplete-conversation,no-user-request,True,False,incomplete-conversation,no-missing-feature-incomplete-conversation,no-feature-category-incomplete-conversation,no-user-request-to-solve,no-improvement-needed-user-abandoned,greeting; form-presentation,bot-greeting-successful; form-presentation-complete,greeting; form-presentation; template-rendering,conversation-initiated; bot-ready-to-help,bot-greeting; form-presentation; user-abandoned,user-abandoned-conversation; no-escalation-needed,no-errors-detected; conversation-abandoned,neutral,simple,1,low
