Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-11 13:00:39.196000,,"{""recipient_id"": ""8d3ea08b-2d2c-4814-838d-4a2faded240d"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-11 13:00:39.206000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-11 13:00:39.216000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""XSZTVDO""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""dcugez953673@outlook.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1953029171414355970""}]}"
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-11 13:01:10.017312,Violation of Advertising Policy - The presentation of your website raises concerns regarding its credibility. We recommend improving the content and design of your landing page to create a more trustworthy and positive user experience.,{}
bot,WEBCHAT,BOT,BOT,2025-08-11 13:01:21.861225," It seems like your ad might have been flagged due to concerns about the credibility of your website's presentation. To address this, I recommend reviewing our Ad Policy and Guidelines to ensure your landing page aligns with our standards. You can find detailed information on our policies here: [Ad Policy](https://help.newsbreak.com/hc/en-us/articles/25362604231053-Ad-Policy). If you have any specific questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 07:13:07.281413,Under review. It usually takes 1-2 work days.,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 07:13:19.150416," Yes, that's correct! The ad approval process typically takes between 1-2 business days. If your ad is still under review beyond this timeframe, it might be due to additional checks or requirements. If you have any concerns or need further assistance, feel free to let me know!",{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 08:59:38.171991,Violation of Advertising Policy - The presentation of your website raises concerns regarding its credibility. We recommend improving the content and design of your landing page to create a more trustworthy and positive user experience.,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 08:59:49.925445," It looks like your ad was flagged due to concerns about the credibility of your website's presentation. To improve this, consider enhancing the content and design of your landing page to make it more trustworthy and user-friendly. For detailed guidelines on our advertising policies, please refer to our [Ad Policy](https://help.newsbreak.com/hc/en-us/articles/25362604231053-Ad-Policy). If you have any specific questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 09:00:02.939236,人工客服,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 09:00:17.366746, 我在这里可以帮助您解决问题！请告诉我您的问题，我会尽力为您提供帮助。,{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 09:00:36.339882,人工客服,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 09:00:44.726747, 我在这里可以帮助您解决问题！请告诉我您的问题，我会尽力为您提供帮助。,{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 09:00:53.478208,人工客服,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 09:01:02.281144, 我在这里可以帮助您解决问题！请告诉我您的问题，我会尽力为您提供帮助。,{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 09:01:21.390415,staff service,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 09:01:32.906369," I'm here to help with whatever you need! Let me know your question, and I'll do my best to assist you right away.",{}
web,WEBCHAT,67e15b9b12984a638ae0bc6f5186670c,XSZTVDO ,2025-08-12 09:01:59.800179,你解决不了,{}
bot,WEBCHAT,BOT,BOT,2025-08-12 09:02:17.845406, 如果我无法解决您的问题，您可以通过发送电子邮件至 adsupport@newsbreak.com 联系我们的支持团队，他们会为您提供进一步的帮助。请告诉我您的具体问题，我会尽力协助您！,{}
