Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-08 06:08:03.004000,,"{""recipient_id"": ""3f6c47fa-9ad0-40e8-96a4-f290827cc0be"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-08 06:08:03.014000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,52b8030d12004a56bbd98ba8e3cd1178,1258 ,2025-08-08 06:08:03.024000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""1258""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""deitermiksisr7@hotmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1869947481297301506""}]}"
web,WEBCHAT,52b8030d12004a56bbd98ba8e3cd1178,1258 ,2025-08-08 06:08:14.454909,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-08-08 06:08:18.437282,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,52b8030d12004a56bbd98ba8e3cd1178,1258 ,2025-08-08 06:08:18.787532,嗨喽,{}
bot,WEBCHAT,BOT,BOT,2025-08-08 06:08:28.910535, 你好！有什么我可以帮助你的吗？,{}
web,WEBCHAT,52b8030d12004a56bbd98ba8e3cd1178,1258 ,2025-08-08 06:08:33.229247,hi,{}
bot,WEBCHAT,BOT,BOT,2025-08-08 06:08:41.273174, Hello! How can I assist you today?,{}
web,WEBCHAT,52b8030d12004a56bbd98ba8e3cd1178,1258 ,2025-08-08 06:09:28.886986,我的广告创建以后，审核完之后inactive是什么意思呢,{}
