Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-18 22:31:42.275917,,"{""recipient_id"": ""604b55dd-f4f9-47d6-89a8-9d2001a86502"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-18 22:31:42.799118,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-18 22:31:43.216636,,"{""recipient_id"": ""604b55dd-f4f9-47d6-89a8-9d2001a86502"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-18 23:06:25.535163,,"{""recipient_id"": ""604b55dd-f4f9-47d6-89a8-9d2001a86502"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,ce9221c2e28e41e0a7a8d86e81ee59b5,jeff ,2025-04-18 23:06:34.000615,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""jeff""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""2jefflawson@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1910519590446227457""}]}"
web,WEBCHAT,ce9221c2e28e41e0a7a8d86e81ee59b5,jeff ,2025-04-18 23:07:42.801169,pixel will not confirm when test web event,{}
bot,WEBCHAT,BOT,BOT,2025-04-18 23:07:48.490598," Hi Jeff, I'm sorry to hear that you're having trouble with your pixel. Could you please let me know which tracking platform or service you are using for the pixel? This will help me provide more specific guidance.",{}
web,WEBCHAT,ce9221c2e28e41e0a7a8d86e81ee59b5,jeff ,2025-04-18 23:08:08.833149,shopify,{}
bot,WEBCHAT,BOT,BOT,2025-04-18 23:08:18.035645," Thanks for letting me know, Jeff. To help you with the pixel confirmation issue on Shopify, please follow these steps:
1. Log in to your Ad Manager account and go to Tools >> Event Management.
2. In Event Management, click 'Create/Test web event.'
3. Name your event and choose the type of conversion event.
4. Follow the 3-step process to integrate your Pixel or Postback.
5. Use the 'Go test' feature at the bottom of the page to test your pixel implementation.
6. Ensure you see 'Test result: successful.'
7. Save and proceed with setting up your ad.
For more detailed instructions, you can refer to this article: [Introduction to Multi-Event Tracking](https://help.newsbreak.com/hc/en-us/articles/23053537846669-Introduction-to-Multi-Event-Tracking).
If you continue to experience issues, please let me know!",{}
web,WEBCHAT,ce9221c2e28e41e0a7a8d86e81ee59b5,jeff ,2025-04-18 23:09:33.831554,i have tried that and the test still does not work,{}
bot,WEBCHAT,BOT,BOT,2025-04-18 23:09:40.634259," I'm sorry to hear that the test still isn't working, Jeff. Since you've already tried the steps and are still facing issues, I recommend reaching out to our support team for further assistance. Please email adsupport@newsbreak.com with details about the issue, including any error messages you might be seeing. They will be able to provide more specialized help.",{}
