escalation_trigger,count
user-abandoned-conversation,27
no-escalation-needed,27
bot-solved-problem,26
user-satisfied,24
conversation-completed-successfully,4
account-specific-problem,3
bot-cannot-access-system,3
bot-cannot-process-cancellation,2
feature-not-supported,2
user-requested-live-agent,2
account-verification-required,2
complex-technical-issue,2
requires-human-verification,1
bot-cannot-process-specific-request,1
ad-approval-delay,1
account-verification-needed,1
bot-cannot-diagnose-issue,1
user-request-for-human-assistance,1
bot-cannot-provide-specific-instructions,1
bot-cannot-override-ad-rejection,1
incorrect-navigation-instructions,1
user-did-not-receive-email,1
complex-language-request,1
unable-to-save-postback-url,1
platform-specific-issue,1
unresolved-technical-problem,1
bot-cannot-directly-resolve-payment-issues,1
verification-issue-requires-human,1
bot-cannot-resolve-technical-issue,1
incorrect-support-contact,1
specific-url-error-not-resolved,1
bot-cannot-resolve,1
user-request-for-live-agent,1
persistent-integration-issue,1
message-quota-exhaustion,1
user-request-for-human-contact,1
user-request-for-specific-invoice,1
user-unable-to-resolve-with-guidance,1
user-request-for-human-expert,1
requires-detailed-investigation,1
campaign-targeting-requires-human-assistance,1
invoice-retrieval-requires-human,1
bot-cannot-perform-task,1
user-requested-more-assistance,1
complexity of user's request,1
bot's inability to provide specific guidance,1
campaign-setting-verification-needed,1
user-requested-support-contact,1
verification-delay,1
need-for-human-interaction,1
