Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-05 23:50:10.192000,,"{""recipient_id"": ""bceba369-e8b1-4510-8dfd-fdc451a3d8f4"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-05 23:50:10.202000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:50:10.212000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Sonny""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""sonny@ninacreativedesigns.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1951579434222878722""}]}"
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:50:26.700081,why is my ad not running,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 23:50:35.469373," Let's figure out why your ad isn't running! Could you provide me with some details like the campaign start date, bidding type, targeting or budget settings, and any recent changes in the last 72 hours? This will help us narrow down the issue.",{}
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:50:57.441722,My ad says active but is not running,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 23:51:07.984605," If your ad is marked as active but isn't running, it could be due to several factors. Please check the following:

1. **Campaign Start Date:** Ensure the campaign start date is set correctly and has already begun.
2. **Bidding Type:** Verify that your bidding strategy aligns with your campaign goals.
3. **Targeting or Budget Settings:** Double-check that your targeting and budget settings are configured properly.
4. **Recent Changes:** Consider any changes made in the last 72 hours that might affect performance.

If everything seems correct, it might be in the learning phase, which can cause temporary fluctuations. Let me know if you need further assistance!",{}
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:57:34.535145,can I have a refund,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 23:57:42.390594, I'm sorry to hear you're considering a refund. Could you please provide more details about the issue or reason for the refund request? This will help me guide you on the next steps.,{}
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:58:21.082600,running a ad is very confusing and I just dont have the time to try to figure it out,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 23:58:34.154927," I understand that running ads can be a bit overwhelming. If you're looking for more support, we do offer dedicated account management for advertisers who meet a daily spend threshold of $1,000 or more. If you're not at that level yet, our self-serve platform is designed to be user-friendly, and our support team is available via chat or email to help you out. You can also check out our Help Center for quick answers and subscribe to our email updates for monthly webinar training sessions. Let me know if you'd like assistance getting started!",{}
web,WEBCHAT,9bb17f258af245ec9dde4104ac2a20cf,Sonny ,2025-08-05 23:59:06.077761,no I just want a refund,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 23:59:17.937841," To request a refund, please submit a request to adsupport@newsbreak.com. Our team will investigate the issue and get back to you within 2-3 days. If you have any specific details about the billing issue, feel free to include them in your email for faster assistance.",{}
