Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-10 13:45:49.706855,,"{""recipient_id"": ""3190dd17-9fee-4b59-aa26-8dd05fe91a51"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-10 13:45:50.244282,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-10 13:45:53.002706,,"{""recipient_id"": ""3190dd17-9fee-4b59-aa26-8dd05fe91a51"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-10 15:47:11.750482,,"{""recipient_id"": ""3190dd17-9fee-4b59-aa26-8dd05fe91a51"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-10 15:47:26.201753,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""sofiaclarkooybvmpy""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""sofiaclarkooybvmpy@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1910327252056973313""}]}"
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-10 15:47:30.599734,hello,{}
bot,WEBCHAT,BOT,BOT,2025-04-10 15:47:43.496939, Hi there! How can I assist you today?,{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-10 15:48:10.935009,Why hasn't my account been approved for camp?,{}
bot,WEBCHAT,BOT,BOT,2025-04-10 15:48:23.363691," I'm sorry to hear that your account hasn't been approved yet. If your account is new and hasn't been verified, please provide the following details by emailing adsupport@newsbreak.com with the subject line: Business Verification –
- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
Once we receive this information, we will conduct a thorough review and update you on your account status. We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-11 14:19:36.886067,I sent a verification email but no response yet,{}
bot,WEBCHAT,BOT,BOT,2025-04-11 14:19:45.083625," Hi there! I'm sorry to hear that you haven't received a response yet. Could you please confirm if you sent the verification email to adsupport@newsbreak.com? If so, it usually takes 2-3 days for our team to investigate and respond. If it's been longer than that, I recommend sending a follow-up email with the subject line: Business Verification – and include your company's full address, legal entity name, EHID or DUNS number, primary contact person's name, and phone number. This will help expedite the process.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-11 14:20:21.571965,I have filled out completely,{}
bot,WEBCHAT,BOT,BOT,2025-04-11 14:20:29.294525," Thank you for confirming that you've filled out the verification email completely. Since you haven't received a response yet, I recommend sending a follow-up email to adsupport@newsbreak.com with the subject line: Business Verification – Follow-Up. Please include all the details again: your company's full address, legal entity name, EHID or DUNS number, primary contact person's name, and phone number. This will help ensure your request is reviewed promptly.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 06:26:58.172949,Is my account verified?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 06:27:03.953121," I don't have the ability to check the status of your account verification directly. However, if you haven't received any confirmation email yet, it's possible that your account is still under review. Please follow up with adsupport@newsbreak.com for the most accurate and updated information regarding your account verification status.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 06:27:24.754214,"Error "" The URL/Landing page(s) associated with your ad is currently broken. Please provide a working version."" how to fix?",{}
bot,WEBCHAT,BOT,BOT,2025-04-12 06:27:36.287032," It looks like the URL or landing page associated with your ad is not working properly. To fix this, please ensure that the URL you provided is correct and accessible. Here are some steps you can take to resolve the issue:
1. Double-check the URL for any typos or errors.
2. Make sure the landing page is live and not under maintenance.
3. Verify that there are no restrictions or blocks preventing access to the page.
4. Test the URL in different browsers to ensure it works across all platforms.
Once you've confirmed that the URL is working, update your ad with the correct link and resubmit it for approval.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 08:54:24.714809,Why is my verified account still taking so long to approve?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 08:54:32.405201," If your account has been verified but your ads are still taking a long time to get approved, it could be due to several reasons. Here are a few possibilities:
1. **Review Process:** Sometimes, the review process can take longer due to a high volume of submissions or additional checks required by our Ad Operations and Trust & Safety teams.
2. **Compliance Checks:** Your ads might be undergoing additional compliance checks to ensure they meet all guidelines and policies.
3. **Technical Issues:** There could be technical issues causing delays in the approval process.
To get more specific information about your case, I recommend reaching out directly to adsupport@newsbreak.com with your account details and any relevant information about your ad submissions.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 15:17:01.580483,"I want to ask if the camp is not approved, which email should I send to?",{}
bot,WEBCHAT,BOT,BOT,2025-04-12 15:17:11.808443," If your campaign is not approved, you should send an email to adsupport@newsbreak.com. Make sure to include all relevant details about your campaign and any issues you're facing so that the support team can assist you promptly.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 15:17:44.517340,What is the title:?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 15:17:50.750140," When emailing about a campaign that is not approved, you can use the following subject line to ensure your email is properly directed: 'Campaign Not Approved – Assistance Needed'. This will help the support team quickly identify and address your issue.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 15:18:34.938591,The campaign is not active yet?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 15:18:51.967707," If your campaign is not active yet, it might still be under review. Here are a few steps you can take:
1. **Check Status:** Log in to your account and check the status of your campaign to see if there are any notifications or messages regarding its approval.
2. **Review Guidelines:** Ensure that your campaign meets all the guidelines and policies set by NewsBreak. Sometimes, campaigns are delayed due to non-compliance with these rules.
3. **Contact Support:** If everything seems in order but your campaign is still not active, you can reach out to adsupport@newsbreak.com for assistance. Use the subject line 'Campaign Not Active – Assistance Needed' and provide all relevant details about your campaign.
This should help expedite the process and get your campaign up and running.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 18:56:23.447546,How to set payment threshold?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 18:56:35.056574," To set your payment threshold on NewsBreak, follow these steps:
1. **Log In:** Log in to your NewsBreak account.
2. **Go to Billing:** Navigate to the 'Billing' tab in your dashboard.
3. **Set Payment Method:** Add a credit card for automatic payments or pre-load your account with ad credits using either a credit card or bank transfer.
4. **Automatic Adjustment:** Note that the billing threshold automatically adjusts based on your spending history. As you spend more on the platform, the threshold will gradually increase.
For more detailed information, you can refer to our Billing Guide here: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide).",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 18:57:47.473502,How to set  Billing threshold?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 18:58:02.417808," To set your billing threshold on NewsBreak, follow these steps:
1. **Log In:** Log in to your NewsBreak account.
2. **Go to Billing:** Navigate to the 'Billing' tab in your dashboard.
3. **Set Payment Method:** Add a credit card for automatic payments or pre-load your account with ad credits using either a credit card or bank transfer.
4. **Automatic Adjustment:** Note that the billing threshold automatically adjusts based on your spending history. As you spend more on the platform, the threshold will gradually increase.
For more detailed information, you can refer to our Billing Guide here: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide).",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 18:58:39.375094,Can't set a $1 limit?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 18:58:44.933410," Unfortunately, you cannot manually set a specific billing threshold, such as $1, on NewsBreak. The billing threshold is automatically adjusted based on your spending history. As you spend more on the platform, the threshold will gradually increase. If you have any concerns or need further assistance with your billing settings, please contact adsupport@newsbreak.com.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 18:59:19.637041,What are the NewsBreak thresholds?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 18:59:28.397026," NewsBreak's billing thresholds are automatically adjusted based on your spending history. As you spend more on the platform, the threshold will gradually increase. This means that there isn't a fixed threshold amount that you can set manually. For more detailed information about how billing works, you can refer to our Billing Guide here: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide).",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-12 19:00:14.263453,What are the specific thresholds?,{}
bot,WEBCHAT,BOT,BOT,2025-04-12 19:00:22.069964," NewsBreak does not provide specific threshold amounts as they are automatically adjusted based on your spending history. The system will gradually increase your billing threshold as you spend more on the platform. For detailed information about how billing works, you can refer to our Billing Guide here: [Billing Guide](https://help.newsbreak.com/hc/en-us/articles/17821681919757-Billing-Guide).",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-13 18:38:00.216508,Why does my campaign take so long to approve?,{}
bot,WEBCHAT,BOT,BOT,2025-04-13 18:38:06.414922," If your campaign is taking a long time to approve, it could be due to several reasons:
1. **High Volume of Submissions:** There might be a high volume of campaigns being submitted for review, which can cause delays.
2. **Compliance Checks:** Your campaign might be undergoing additional compliance checks to ensure it meets all guidelines and policies.
3. **Technical Issues:** There could be technical issues causing delays in the approval process.
4. **Incomplete Information:** Ensure that all required information and documentation have been provided correctly.
To get more specific information about your case, I recommend reaching out directly to adsupport@newsbreak.com with your account details and any relevant information about your ad submissions.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-13 18:58:33.065475,"""Your account has been flagged for suspicious activity and is under investigation."" ?",{}
bot,WEBCHAT,BOT,BOT,2025-04-13 18:58:39.136970," If your account has been flagged for suspicious activity and is under investigation, it means that our Ad Operations and Trust & Safety teams are reviewing your account to ensure compliance with our guidelines and policies. During this time, your account may be on hold and ads not approved pending further review.
To proceed with the verification process and have your account approved, please provide the following details by emailing adsupport@newsbreak.com with the subject line: Business Verification –
- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
Once we receive this information, we will conduct a thorough review and update you on your account status.
We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-13 19:28:46.619329,Why is the account flagged after being verified?,{}
bot,WEBCHAT,BOT,BOT,2025-04-13 19:29:04.633976," If your account has been flagged for suspicious activity even after being verified, it could be due to several reasons:
1. **Unusual Activity:** There might be unusual or suspicious activity detected on your account that requires further investigation.
2. **Policy Violations:** Your account may have violated NewsBreak's advertising policies or guidelines, prompting a review by the Trust & Safety team.
3. **Technical Issues:** There could be technical issues or errors that caused your account to be flagged incorrectly.
To resolve this issue, please contact adsupport@newsbreak.com with detailed information about your account and any relevant activities. The support team will assist you in understanding the reason for the flag and guide you through the steps to resolve it.",{}
web,WEBCHAT,64b4e803ac114a07a61e93a8fe0a577a,sofiaclarkooybvmpy ,2025-04-14 03:10:34.520207,"Please explain to me the reasons why the account says ""Your account has been flagged for suspicious activity and is under investigation.""",{}
bot,WEBCHAT,BOT,BOT,2025-04-14 03:10:41.435484," Hi there! When your account is flagged for suspicious activity and is under investigation, it usually means that our system has detected some unusual behavior or potential violations of our policies. This could include things like unusual login patterns, suspicious transactions, or content that violates our guidelines. To resolve this, please email adsupport@newsbreak.com with details about your account and any relevant information. Our team will review your case and get back to you as soon as possible.",{}
