Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-19 18:37:38.455258,,"{""recipient_id"": ""89b68ad3-a6e8-44e0-b833-4abc017c240c"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-19 18:37:38.987180,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-04-19 18:37:39.406318,,"{""recipient_id"": ""89b68ad3-a6e8-44e0-b833-4abc017c240c"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-19 18:37:56.286570,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Jeff""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""2jefflawson@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1910519590446227457""}]}"
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-19 18:38:22.239880,shopify pixel won't test,{}
bot,WEBCHAT,BOT,BOT,2025-04-19 18:38:28.598949," Hi Jeff, I'm sorry to hear that you're having trouble testing your Shopify pixel. Could you please let me know if you've followed the steps outlined in our guide for installing a NewsBreak Pixel on Shopify? You can find the detailed instructions here: [How to install a NewsBreak Pixel on Shopify](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify). If you've already done that, please let me know what specific issue you're encountering during the test.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-20 15:53:35.492723,followed steps below and still not testing,{}
bot,WEBCHAT,BOT,BOT,2025-04-20 15:53:42.660377," Thanks for letting me know, Jeff. Let's try to troubleshoot this further. Here are some steps you can follow to debug the pixel issue on Shopify:
1. Ensure that the base pixel code is added to your landing page URL.
2. Make sure the custom pixel code is placed on the event page (where the user action takes place).
3. Perform the action that should trigger the pixel (e.g., simulate purchasing a product if it's a complete_payment event).
4. Test the event in both Shopify and NewsBreak to ensure it triggers correctly.
If you've tried these steps and the pixel still doesn't fire, please contact our support team at adsupport@newsbreak.com for further assistance.
For more detailed troubleshooting steps, you can refer to this guide: [Event Tracking Debugging Steps](https://help.newsbreak.com/hc/en-us/articles/18551604763405-How-to-install-a-NewsBreak-Pixel-on-Shopify).",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-22 21:55:27.982783,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-04-22 21:55:30.780776,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-22 21:55:58.802778,may ad is still pending.,{}
bot,WEBCHAT,BOT,BOT,2025-04-22 21:56:15.105036," Hi Jeff, I'm sorry to hear that your ad is still pending. Could you please provide me with the following details so I can assist you better? 
- Campaign start date 
- Bidding type 
- Targeting or budget settings 
- Any recent changes in the last 72 hours. Once I have this information, I can help troubleshoot the issue.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-22 22:11:19.821341,start date 4/22/25 at 9pm. Bid type is maximize conversion. Dailey budget $25,{}
bot,WEBCHAT,BOT,BOT,2025-04-22 22:11:31.990947," Thanks for providing the details, Jeff. Since your ad is still pending and your account might be new, it could be due to the verification process. Please email adsupport@newsbreak.com with the subject line: Business Verification and include the following details:
- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
Once we receive this information, we will conduct a thorough review and update you on your account status. We appreciate your cooperation in maintaining a secure and compliant advertising environment for all our partners.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-23 22:34:01.975127,what time did my campaign start today,{}
bot,WEBCHAT,BOT,BOT,2025-04-23 22:34:08.697060," To check the start time of your campaign, you can look at the ad set level in Ad Manager. Keep in mind that Ad Manager operates in PST/military time, so make sure to adjust accordingly.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-24 22:00:51.755518,how long can video ads be,{}
bot,WEBCHAT,BOT,BOT,2025-04-24 22:01:16.345562," Video ads on NewsBreak can be up to a minute long. If you have any more questions about creating video ads, feel free to ask!",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-24 22:02:52.629117,do you accept health related ads,{}
bot,WEBCHAT,BOT,BOT,2025-04-24 22:02:59.670624," I'm not sure about the specifics of health-related ads. I recommend checking out our policy document for detailed guidelines on what types of ads are accepted. If you have further questions, you can email our support team at adsupport@newsbreak.com.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-25 02:36:55.633385,what size of a video ad,{}
bot,WEBCHAT,BOT,BOT,2025-04-25 02:37:04.260548," For video ads on NewsBreak, the recommended size is 1080x1920 pixels to ensure optimal display across devices. If you have more questions about ad specifications, feel free to ask!",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-25 23:56:03.334960,what is the best kind of ad to draw someone to your landing page,{}
bot,WEBCHAT,BOT,BOT,2025-04-25 23:56:12.800774," To effectively draw someone to your landing page, you can use a variety of creative strategies. Here are some high-performing funnels:
1. **Native image → prelander page → product page**: This engages users with eye-catching image ads, leading to a prelander that builds interest before ultimately driving them to the product page.
2. **Native image → advertorial → product page**: Uses a content-driven approach, where an advertorial educates and convinces users before directing them to the product page.
3. **Local interest {city/state} → product review/recommendation**: Leverages dynamic copywriting to make ads more locally relevant, leading to a review or recommendation that drives conversions.
4. **Educational video → VSL**: Uses informative content to engage users, leading to a longer-form VSL that pitches the product.
5. **UGC (User-Generated Content) → VSL/Product page**: Builds trust with authentic user content in the ad creative before driving users to a VSL or directly to the product page for conversion.
These strategies are designed to guide users from awareness to conversion effectively.",{}
web,WEBCHAT,d788013cd5224d19b02d72c1c56871b6,Jeff ,2025-04-26 01:30:01.850917,best size for a video ad,{}
