Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-27 07:11:27.552000,,"{""recipient_id"": ""d98452cb-8bdf-49d4-8baf-fdd3c185c4d0"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-27 07:11:27.562000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:11:27.572000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""alex""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""maazofxegb@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1947690735029121026""}]}"
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:11:39.410912,hello,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:11:45.861748, Hi there! How can I assist you today?,{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:12:26.191714,"I need ad account support, why can't I add credit, while I am an admin",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:12:36.573610," The ability to add ad credit is not available for newly created accounts by default. To enable this functionality, your account must complete and pass business verification, accumulate over $5,000 in spend, and establish a relationship with an Account Manager (AM). If you need help connecting with an AM or have further questions, feel free to ask!",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:13:10.241484,What is AM?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:13:17.798549," AM stands for Account Manager. An Account Manager is someone who can assist you with managing your ad account, including enabling certain functionalities like adding ad credit once specific conditions are met.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:14:19.152726,"Why when I add a card I lose $10, while I haven't spent anything, if this is from the platform, when will the temporary deposit be returned?",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:14:27.638097," When you add a card, there's a temporary $10 authorization fee. If you run ads, this amount goes towards your advertising budget. If you don't run ads, it will be fully refunded. The payment amount is held for 7 days, and if not captured within this time, Stripe cancels the payment and releases the funds.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:15:42.394490,"If it will be refunded after 7 days, will the $10 be withheld when I run ads? Or will the payment be made at the $10 threshold?",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:15:57.000318," If you run ads, the $10 authorization fee will be applied towards your advertising budget. It won't be withheld separately; instead, it contributes to your ad spend. If you don't run ads within 7 days, the fee is refunded.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:17:06.326638,"I understand, but if after 7 days I don't run ads, if the money has been refunded, when I run again, will I keep that money?",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:17:14.916746," If you don't run ads within the 7-day period, the $10 authorization fee will be refunded to your card. When you decide to run ads again, you'll need to ensure that your payment method is set up correctly, but the previously refunded $10 won't automatically apply to future ad spend. You'll start fresh with your ad budget.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:19:21.456705,"but I don't know if you refund $10 within 7 days, but last time I didn't receive the money after 7 days and it took me 30 days to receive the money.",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:19:32.574393," I'm sorry to hear about the delay in receiving your refund. Typically, the $10 authorization fee should be released within 7 days if no ads are run. If you experience delays, it might be due to processing times with your bank or payment provider. If this happens again, I recommend contacting your bank for more details or reaching out to adsupport@newsbreak.com for assistance.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:20:47.931547,"so i have posted an ad but i don't understand why it keeps warning me, can you check for me",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:20:56.732711, I'm here to help! Could you please provide more details about the warning message you're receiving? This will help me understand the issue better and guide you accordingly.,{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:22:12.097902,"why does it keep processing, and how long will it take?","{""image_list"": [{""image"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/d98452cb-8bdf-49d4-8baf-fdd3c185c4d0/c9bb58728e984de38ceb260cad833867.png"", ""thumbnail"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/d98452cb-8bdf-49d4-8baf-fdd3c185c4d0/c9bb58728e984de38ceb260cad833867_thumbnail.png"", ""is_ready"": true}]}"
seachat_sys,WEBCHAT,BOT,BOT,2025-07-27 07:22:16.429621,"why does it keep processing, and how long will it take?
The ""Pending"" status means your ad is currently under review. This process usually takes 1-2 workdays. If it takes longer, it could be due to high volume or specific issues that require additional review. If you're concerned about the delay, you may want to reach out to the support team for more specific insights regarding your ad.",
bot,WEBCHAT,BOT,BOT,2025-07-27 07:22:25.343852," The ""Pending"" status indicates that your ad is under review, which typically takes 1-2 business days. If it's taking longer, it might be due to a high volume of ads or specific issues needing extra attention. If you're worried about the delay, you can contact adsupport@newsbreak.com for more detailed information about your ad's status.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:23:21.520267,So can you help me review my ad faster? I need my ad sooner.,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:23:35.181971," I understand the urgency, but unfortunately, I can't expedite the review process myself. The ad review process is handled by our Ad Ops team and usually takes 1-2 business days. If you need further assistance, you can reach out to adsupport@newsbreak.com for more information.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:25:08.633161,so can you help me increase the postpaid limit more? 10$ is too little for our business,"{""image_list"": [{""image"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/d98452cb-8bdf-49d4-8baf-fdd3c185c4d0/c82e434b8151442d9e5f7144a926a26d.png"", ""thumbnail"": ""https://chat.seasalt.ai/api/static/gptbot/714b4955-90a2-4693-9380-a28dffee2e3a/conversation/d98452cb-8bdf-49d4-8baf-fdd3c185c4d0/c82e434b8151442d9e5f7144a926a26d_thumbnail.png"", ""is_ready"": true}]}"
seachat_sys,WEBCHAT,BOT,BOT,2025-07-27 07:25:12.997602,"so can you help me increase the postpaid limit more? 10$ is too little for our business
To increase your postpaid limit, you typically need to meet specific criteria, such as spending thresholds or verification processes. As an initial step, make sure your account is verified, and you've spent a reasonable amount on ads. If you need further assistance, I recommend contacting your account manager or customer support for guidance on how to increase your billing threshold.",
bot,WEBCHAT,BOT,BOT,2025-07-27 07:25:26.377613," To increase your postpaid limit, you need to meet certain criteria, such as spending thresholds and completing verification processes. Ensure your account is verified and you've spent a significant amount on ads. For further assistance, please contact adsupport@newsbreak.com or your Account Manager for guidance on increasing your billing threshold.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:25:37.713160,I will provide you with business documents to prove your business.,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:25:50.406430," Great! To proceed with business verification, please email the following details to adsupport@newsbreak.com with the subject line: Business Verification:

- Company's full address
- Company's legal entity name
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
- Business URL

Once we receive this information, our team will conduct a thorough review and update you on your account status.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:27:15.884583,when i spend to pay those 10$ threshold can it automatically increase the payment threshold?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:27:24.060217," Yes, as you spend more on the platform, your billing threshold can automatically increase based on your payment history. This means that once you consistently meet the $10 threshold and continue spending, the system may adjust your limit upwards over time.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:27:50.029823,So what are the thresholds?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:27:58.243390," The billing thresholds are dynamic and adjust based on your spending history and payment reliability. Initially, you might start with a lower threshold like $10, but as you continue to spend and make timely payments, the system may increase your threshold automatically. This allows for more flexibility in managing your ad campaigns.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:28:41.040081,So what are the thresholds?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:28:50.186924," Billing thresholds are dynamic and adjust based on your spending history and payment reliability. Initially, you might start with a lower threshold like $10, but as you continue to spend and make timely payments, the system may increase your threshold automatically. This allows for more flexibility in managing your ad campaigns.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:28:58.059594,So will it be calculated by the amount spent or by a certain number of payments?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:29:06.478952," The billing threshold is typically adjusted based on the amount spent and your payment history. As you spend more and consistently meet your current threshold, the system may increase it automatically. It's not solely based on the number of payments but rather your overall spending behavior and reliability.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:30:06.287045,So let me ask why sometimes I can't add a card to my account,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:30:17.983238," If you're having trouble adding a card to your account, it could be due to several reasons such as:

1. Incorrect card details: Double-check the information you entered.
2. Card restrictions: Some cards may have restrictions on online transactions.
3. Bank issues: Contact your bank to ensure there are no holds or issues with your card.
4. Platform limitations: Ensure you're following the correct steps in the billing section.

If the issue persists, please reach out to adsupport@newsbreak.com for further assistance.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:31:17.194090,"my card works fine, i tried adding it on facebook ads normally, when i added it again on your platform it said it was wrong",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:34:04.968399," If your card works on other platforms but not on ours, it might be due to specific platform requirements or settings. Here are a few things you can try:

1. Ensure that the card details are entered correctly.
2. Check if there are any restrictions or limits set by your bank for transactions on our platform.
3. Try using a different browser or clearing your cache and cookies.

If none of these solutions work, please contact adsupport@newsbreak.com for further assistance.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:39:20.446927,How many users does your platform have and how many advertisers do they run every day?,{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:39:33.712961," I'm sorry, but I don't have specific information on the number of users or advertisers on our platform. For detailed statistics, you might want to reach out to adsupport@newsbreak.com for more information.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-27 07:44:07.089874,"How to enable video monetization on your platform, and how to upload videos to make money",{}
bot,WEBCHAT,BOT,BOT,2025-07-27 07:44:21.415883," Currently, I don't have specific information on enabling video monetization or uploading videos for monetization on our platform. For detailed guidance, please contact adsupport@newsbreak.com for assistance.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-29 10:26:27.349574,Why has my ad not been approved for 2 days?,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 10:26:38.239716," The ad approval process usually takes between 1-2 business days. If your ad hasn't been approved yet, it might be undergoing additional review by our Ad Operations and Trust & Safety teams. If your account is new or pending verification, please ensure you've submitted all necessary business details for verification. You can email adsupport@newsbreak.com with the subject line: Business Verification for further assistance.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-29 10:27:27.693688,I sent but no response?,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 10:27:37.403496,"I understand your concern. Sometimes, the review process can take a bit longer due to high volume or additional checks. Please ensure all required information was included in your email. If you haven't heard back in a few days, I recommend following up with adsupport@newsbreak.com for an update on your verification status.",{}
bot,WEBCHAT,BOT,BOT,2025-07-29 10:27:38.123546,"I understand your concern. Sometimes, the review process can take a bit longer due to high volume or additional checks. Please ensure all required information was included in your email. If you haven't heard back in a few days, I recommend following up with adsupport@newsbreak.com for an update on your verification status.",{}
web,WEBCHAT,e77660af7d474c0386fe7f8f482cba67,alex ,2025-07-29 10:28:23.630880,Is verification required to approve ads?,{}
bot,WEBCHAT,BOT,BOT,2025-07-29 10:28:32.168917," Yes, verification is typically required to approve ads, especially for new accounts. This process ensures that all advertisers meet our platform's standards and helps maintain a secure advertising environment. If your account is pending verification, make sure to provide all necessary business details to expedite the process.",{}
