Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-20 23:55:39.420920,,"{""recipient_id"": ""d74ffda3-a1a5-4f5f-b8cd-96397343f01e"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Phone"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-phone.svg"", ""is_required"": false, ""entity_name"": ""_PHONE""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-02-20 23:55:39.910032,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-20 23:55:54.330078,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""ryan""}, {""title"": ""Phone"", ""entity_name"": ""_PHONE"", ""value"": ""+1""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""ryan.ludlow@newsbreak.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""nam""}]}"
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-20 23:56:16.981406,what kind of targeting is available?,{}
bot,WEBCHAT,BOT,BOT,2025-02-20 23:56:22.713447," Hey Ryan! There are several targeting options available for advertisers. One of the key options is Custom Audience targeting, which allows you to reach users who already know or have engaged with your business. This is great for retargeting and creating look-alike audiences. If you want more detailed information, check out our Audience Management guide here: [Introduction to Audience Management](https://help.newsbreak.com/hc/en-us/articles/26679465558669-Introduction-to-Audience-Management). Let me know if you have any other questions!",{}
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-20 23:57:10.967521,"newsbreak sucks, im losing money. whats wrong",{}
bot,WEBCHAT,BOT,BOT,2025-02-20 23:57:17.989146," I'm really sorry to hear that you're having a tough time with your campaigns, Ryan. It might be helpful to look into why your ad campaigns are underperforming. Have you checked your targeting, ad creative, or bidding strategy? A/B testing can also help identify what works best for your audience. If you want more detailed guidance, I can share our Reporting Guide with you. Let me know how you'd like to proceed!",{}
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-21 00:01:07.973339,i need to speak with someone,{}
bot,WEBCHAT,BOT,BOT,2025-02-21 00:01:15.347430,"I've sent an email to our support team on your behalf, and they should reach out to you soon. If there's anything else you need in the meantime, just let me know!",{}
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-21 05:37:01.467319,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-02-21 05:37:03.019109,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-21 05:37:03.281500,🧹 New Topic,"{""payload"": ""/clear_history""}"
bot,WEBCHAT,BOT,BOT,2025-02-21 05:37:04.791411,"Okay, Let's start fresh! What can I help you with?
Hi, I’m the NewsBreak Ad Assistant. How can I help?",{}
web,WEBCHAT,030adabb246f46259045c9eee176ac31,ryan ,2025-02-21 05:37:12.592447,whats the best event tracking platform,{}
