Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-30 19:09:36.099000,,"{""recipient_id"": ""8b621b86-66c2-4a3b-b8bd-c91514f78ceb"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-06-30 19:09:36.109000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:09:36.119000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""gu bassi""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""gubassi@icloud.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1934827871695171585""}]}"
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:12:45.946440,hi,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:12:55.072677, Hello! How can I assist you today?,{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:14:14.565427,there is a message on my account,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:14:21.995755, Could you please provide more details about the message you're seeing on your account? This will help me assist you better.,{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:14:22.257691,thate is rejected the profile,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:14:36.528525," It seems like your profile was rejected due to verification issues. We were unable to verify the business details you provided with information from our verification sources. This means we couldn't confirm that the business information matches a legitimate business entity. If you need further assistance, please email adsupport@newsbreak.com.",{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:15:50.095988,i iam talking with Brinkley temple,{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:16:00.075329,what kind of information?,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:16:02.219191, It sounds like you might be in contact with someone named Brinkley Temple. How can I assist you further with this?,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:16:14.259617," For business verification, you typically need to provide details such as your company's full address, legal entity name, account email, EHID or DUNS number, primary contact person's name, company phone number, and business URL. If you have any specific questions or need help with the process, feel free to ask!",{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:17:03.458945,where can i send this infos?,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:17:16.763687, You can send the required information for business verification to adsupport@newsbreak.com. Make sure to include all the necessary details in your email.,{}
web,WEBCHAT,bfa2b8bd4f374ddb845be1c9e7c392e5,gu bassi ,2025-06-30 19:20:46.660757,ok tks,{}
bot,WEBCHAT,BOT,BOT,2025-06-30 19:20:53.706424, You're welcome! Thanks for contacting us and we want to hear from you!,{}
