Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 14:09:20.702506,,"{""recipient_id"": ""bc4066fc-cbfa-4134-bc1e-c38835e56675"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": true, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 14:09:21.133743,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 14:09:37.272229,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Rony""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""angelinadthomas85@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1896491085678510082""}]}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 14:10:02.471125,i want to check if we can upload a video more then 60 seconds long,{}
bot,WEBCHAT,BOT,BOT,2025-03-03 14:10:10.428307," Hey Rony! Yes, you can upload videos longer than 60 seconds. However, it's recommended to keep videos between 15-30 seconds for better engagement. If you want to run longer videos, consider driving users to a Video Sales Letter (VSL). For more details, you can check out our best practices guide here: [Ad Creative Best Practices and A/B Testing](https://help.newsbreak.com/hc/en-us/articles/20676690598029-Ad-Creative-Best-Practices-and-A-B-Testing).",{}
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 14:11:17.888260,im not sure how can i upload 2min video ,{}
bot,WEBCHAT,BOT,BOT,2025-03-03 14:11:28.446683," No worries, Rony! To upload a 2-minute video, you can follow these steps:
1. Go to your ad creation platform.
2. Select the option to create a new ad or edit an existing one.
3. Choose the video format and upload your 2-minute video file.
4. Make sure to separate it into different ad sets if you're testing different formats (e.g., 9x16 and 16x9).
5. Once uploaded, review and finalize your ad settings before publishing.
For more detailed instructions, you can refer to our guide on creating video ads here: [How to create a video ad](https://help.newsbreak.com/hc/en-us/articles/19294845964045-How-to-create-a-video-ad).",{}
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 14:12:00.564575,its saying i can upload only up to 60 seconds video,{}
bot,WEBCHAT,BOT,BOT,2025-03-03 14:12:07.488684," I see, Rony. It looks like there might be a restriction on the platform you're using. Could you please let me know which platform or service you are using to upload your video? This will help me provide more specific guidance.",{}
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 14:12:26.162888,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-03 14:12:32.121560,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Agents are offline right now, but your messages are sent to them."", ""message_below"": ""An agent has been notified and will respond as soon as possible."", ""summary"": ""Rony inquired about uploading videos longer than 60 seconds. The assistant confirmed that it is possible but recommended keeping videos between 15-30 seconds for better engagement. Rony then asked for guidance on uploading a 2-minute video, and the assistant provided detailed steps on how to do so. However, Rony encountered a restriction allowing only up to 60-second videos. The assistant requested information about the platform Rony was using to provide more specific assistance.""}}}}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:47:37.568221,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 18:47:38.017497,You are talking with an AI agent.,"{""recipient_id"": ""bc4066fc-cbfa-4134-bc1e-c38835e56675"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 18:47:38.222623,,"{""recipient_id"": ""bc4066fc-cbfa-4134-bc1e-c38835e56675"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:47:51.918329,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-03 18:47:53.890815,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Successfully transferred to a live agent!"", ""message_below"": ""Now you can talk to the agent."", ""summary"": ""N/A""}}}}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:47:54.323679,🙋 AI Agent,"{""payload"": ""/ai_agent""}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 18:47:54.766601,You are talking with an AI agent.,"{""recipient_id"": ""bc4066fc-cbfa-4134-bc1e-c38835e56675"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""TALKING_TO_AI_AGENT_NOW"", ""message"": ""You are talking with an AI agent.""}}}}"
event_notify,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-03 18:47:54.982330,,"{""recipient_id"": ""bc4066fc-cbfa-4134-bc1e-c38835e56675"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""event_notify"", ""event_type"": ""CONVERSATION_COMPLETED"", ""message"": ""The user is now talking with the AI Agent.""}}}}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:47:56.076425,🙋 Live Agent,"{""payload"": ""/live_agent""}"
bot,WEBCHAT,BOT,BOT,2025-03-03 18:47:59.282988,Connecting you to a live agent. Please hold.,"{""recipient_id"": ""66040214e4a641a4a557be5ab8a88f87"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""transfer"", ""message_above"": ""Agents are offline right now, but your messages are sent to them."", ""message_below"": ""An agent has been notified and will respond as soon as possible."", ""summary"": ""N/A""}}}}"
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:48:08.045552,hello,{}
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:48:40.156084, i want to ask if i can upload a video longer then 60 seconds ,{}
web,WEBCHAT,9c35a8abc72c4ae085f8c68cf4b11fc3,Rony ,2025-03-03 18:58:16.514638,??,{}
dashboard,WEBCHAT,azhar.sayed@newsbreak.com,Philip Pirrip,2025-03-03 19:06:52.393220,Hi Rony,
dashboard,WEBCHAT,azhar.sayed@newsbreak.com,Philip Pirrip,2025-03-03 19:07:20.462955,"Yes, we do have a feature that allows for a video upload longer than 60 seconds",
