Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-31 14:37:01.322000,,"{""recipient_id"": ""639403c3-a885-43a1-8e23-d1367bc84df0"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-31 14:37:01.332000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-07-31 14:37:01.342000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Gabriel Rodriguez""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""gabrielrodriguez@gruponexis.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1949957277837332481""}]}"
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-07-31 14:37:46.816428,GOOD MORNING I would like to know why my profile was rejected and I would like you to approve it for advertising.,{}
bot,WEBCHAT,BOT,BOT,2025-07-31 14:37:58.705676," Good morning! I'm sorry to hear that your profile was rejected. Typically, this happens when we're unable to verify the business details you provided. To help resolve this, please provide the following information:

- Company's full address
- Company's legal entity name
- Account Email
- Company's EHID or DUNS number
- Primary contact person's name
- Company's phone number
- Business URL

Once you have this information ready, please email it to adsupport@newsbreak.com with the subject line: Business Verification. Our team will review your details and update you on your account status.

If you have any other questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:02:50.297395,HELLO,{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:02:56.380098, Hi there! How can I assist you today?,{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:03:14.097494,"Company's EHID or DUNS number

is it mandatory?",{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:03:23.023697," Yes, providing your company's EHID or DUNS number is mandatory for the business verification process. This helps us ensure a secure and compliant advertising environment. If you have any questions, feel free to reach out!",{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:03:39.710277,I don't have,{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:03:47.120836," If you don't have an EHID or DUNS number, I recommend reaching out to our support team at adsupport@newsbreak.com for further assistance. They can guide you on alternative steps for verification.",{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:03:57.115190,How can I get it?,{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:04:06.566690," To obtain a DUNS number, you can visit the official Dun & Bradstreet website and apply for one. It's a unique identifier for businesses and is used globally. If you need an EHID, you might want to check with your local business registration authority or government agency that issues these identifiers.",{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:05:55.806946,information has already been sent to the email,{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:06:03.920975," Great! Once our team receives your information, they will conduct a thorough review and update you on your account status. If you have any other questions or need further assistance, feel free to ask!",{}
web,WEBCHAT,291ebb75934545b6b3841f7d162ad0fa,Gabriel Rodriguez ,2025-08-01 02:06:30.475914,Thank You,{}
bot,WEBCHAT,BOT,BOT,2025-08-01 02:06:37.727940, You're welcome! Thanks for contacting us and we want to hear from you!,{}
