Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-28 12:42:18.963932,,"{""recipient_id"": ""2144d5f5-834e-405c-9686-5c404e14bace"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-28 12:42:20.644636,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-28 12:42:20.660927,,"{""recipient_id"": ""2144d5f5-834e-405c-9686-5c404e14bace"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-03-31 15:13:15.287639,,"{""recipient_id"": ""2144d5f5-834e-405c-9686-5c404e14bace"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
web,WEBCHAT,ded4ed0413a644f1a34b1cdeef18147d,Thomas ,2025-03-31 15:13:45.195511,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Thomas""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""tchou515@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1903918678111416321""}]}"
web,WEBCHAT,ded4ed0413a644f1a34b1cdeef18147d,Thomas ,2025-03-31 15:16:28.181987,"what does it mean that there are no active ad sets? my ads were pending, they were supposed to start running today and now i have this message. i'm new to this so i just need clarification.",{}
bot,WEBCHAT,BOT,BOT,2025-03-31 15:16:42.920168," Hi Thomas, it sounds like your ad sets might not have been activated properly. This can happen if there was an issue during the approval process or if the ad sets were not set to active status. To get a better understanding, could you please check if your ads have been approved? If they are still pending, they won't run until they are approved. You can also refer to this article for more details on creating and managing your ads: [How to create your first ad](https://help.newsbreak.com/hc/en-us/articles/17618196971149-How-to-create-your-first-ad). If you need further assistance, feel free to ask!",{}
web,WEBCHAT,ded4ed0413a644f1a34b1cdeef18147d,Thomas ,2025-03-31 15:17:37.395544,how can i check if they were approved?,{}
bot,WEBCHAT,BOT,BOT,2025-03-31 15:17:44.947820," You can check the approval status of your ads by logging into your NewsBreak Ad Manager account and navigating to the 'Ad Management' tab. There, you should see the status of each ad set. If they are approved, they will be marked as 'Active'. If they are still pending, you might need to wait a bit longer or contact support for further assistance. Here's a helpful article that explains more about ad approval and management: [How to create your first ad](https://help.newsbreak.com/hc/en-us/articles/17618196971149-How-to-create-your-first-ad). Let me know if you need any more help!",{}
web,WEBCHAT,ded4ed0413a644f1a34b1cdeef18147d,Thomas ,2025-04-03 20:56:13.175221,what does contains ads sets with warnings mean?,{}
