Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-05 12:13:17.958000,,"{""recipient_id"": ""8caf1924-92b8-43df-87e0-7d0632d332b5"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-08-05 12:13:17.968000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:13:17.978000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""aryan""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""maypatel293@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1952265954101559297""}]}"
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:14:04.764496,whats the reason behind my profile was rejected,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:14:13.699061," It seems that your profile was rejected because we were unable to verify the business details you provided with information from our verification sources. This means we couldn't confirm that the business information matches a legitimate business entity. If you have any further questions or need assistance, please feel free to reach out.",{}
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:14:46.312473,which verification,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:14:57.063677," The verification process involves confirming the business details you provided, such as your company's legal entity name, address, and other relevant information. If you believe there was an error in the verification process or if you have additional documentation that can help verify your business, please contact our Ad Support team at adsupport@newsbreak.com for further assistance.",{}
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:15:36.224743,plzz aaproved my profile,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:15:46.952417,"I understand you're eager to get your profile approved. To help with this, please ensure that all your business details are accurate and complete. If you haven't already, you can email our Ad Support team at adsupport@newsbreak.com with any additional documentation that might assist in the verification process. They'll be able to guide you further.",{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:15:48.743231,"I understand you're eager to get your profile approved. To help with this, please ensure that all your business details are accurate and complete. If you haven't already, you can email our Ad Support team at adsupport@newsbreak.com with any additional documentation that might assist in the verification process. They'll be able to guide you further.",{}
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:16:16.406703,ko,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:16:24.704553, 안녕하세요! 어떤 도움이 필요하신지 말씀해 주시면 최선을 다해 도와드리겠습니다.,{}
web,WEBCHAT,d5acb9d4baab4e7e917e2b33e2a13a15,aryan ,2025-08-05 12:24:51.814745,ok,{}
bot,WEBCHAT,BOT,BOT,2025-08-05 12:25:08.891949, Thanks for contacting us and we want to hear from you!,{}
