Sender type,Channel type,Sender name,Sender full name,Time in GMT,Message,Data
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-28 11:46:30.588000,,"{""recipient_id"": ""98a3a35c-a4f0-4adb-ab37-a80d4c4c86a5"", ""custom"": {""attachment"": {""type"": ""template"", ""payload"": {""template_type"": ""simple_form"", ""title"": ""Information for Ad Support Ticket"", ""description"": ""This form is used to collect user information in case the user needs additional help and a Jira Ticket needs to be filed with our Support Team."", ""descriptionPosition"": ""top"", ""hidden_reply"": true, ""reply_text"": ""The user completes the submission of the form"", ""submit_button_title"": ""Send"", ""intent_name"": ""submit_form"", ""cancel_button"": {""title"": ""Cancel"", ""type"": ""postback"", ""payload"": ""/cancel_for_input_data"", ""url"": null, ""is_enabled"": false, ""hidden_reply"": true}, ""is_mailerlite_form"": false, ""fields"": [{""title"": ""Name"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-name.svg"", ""is_required"": true, ""entity_name"": ""_NAME""}, {""title"": ""Email"", ""type"": ""text"", ""icon_url"": ""https://seachat.s3.us-west-2.amazonaws.com/images/icon-email.svg"", ""is_required"": true, ""entity_name"": ""_EMAIL""}, {""title"": ""Account ID"", ""type"": ""text"", ""icon_url"": """", ""is_required"": true, ""entity_name"": ""VAR_0001""}], ""form_id"": ""ee27568f0b9f4826a7215c8197548501""}}}}"
bot,WEBCHAT,FREE_NOTIFY,FREE_NOTIFY,2025-07-28 11:46:30.598000,"Hi, I’m the NewsBreak Ad Assistant. How can I help?",
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 11:46:30.608000,The user completes the submission of the form,"{""form_id"": ""ee27568f0b9f4826a7215c8197548501"", ""hidden_reply"": false, ""intent_name"": ""submit_form"", ""fields"": [{""title"": ""Name"", ""entity_name"": ""_NAME"", ""value"": ""Robert""}, {""title"": ""Email"", ""entity_name"": ""_EMAIL"", ""value"": ""robert.kis91@gmail.com""}, {""title"": ""Account ID"", ""entity_name"": ""VAR_0001"", ""value"": ""1946218640791216129""}]}"
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 11:46:47.506688,Hello,{}
bot,WEBCHAT,BOT,BOT,2025-07-28 11:46:54.765765, Hi there! How can I assist you today?,{}
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 11:46:58.738936,Can I know why my profile got rejected?,{}
bot,WEBCHAT,BOT,BOT,2025-07-28 11:47:14.168224," We were unable to verify the business details you provided with information from our verification sources. This means we couldn't confirm that the business information matches a legitimate business entity. If you have any questions or need further assistance, please let me know!",{}
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 12:25:35.507656,And how I can appeal this?,{}
bot,WEBCHAT,BOT,BOT,2025-07-28 12:25:44.256241," If you believe there was an error in the verification process or if you have additional documentation that can help us verify your business, please contact our Ad Support team at adsupport@newsbreak.com. They will be happy to work with you to resolve this issue.",{}
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 12:25:52.761519,"It's my business, real documents and everything.. I feel like no one was checking actually lol",{}
bot,WEBCHAT,BOT,BOT,2025-07-28 12:26:02.213486," I understand your frustration. To ensure your business is verified, please make sure to provide all necessary documentation and details when contacting our Ad Support team at adsupport@newsbreak.com. They will conduct a thorough review and assist you further. Let me know if there's anything else I can help with!",{}
web,WEBCHAT,74b60116a7e14037bb80c1b141c28a5e,Robert ,2025-07-28 12:26:05.233295,Nobody reply to that email..,{}
bot,WEBCHAT,BOT,BOT,2025-07-28 12:26:14.194643," I'm sorry to hear that you haven't received a response yet. Sometimes it may take a little time for the team to get back to you due to high volumes of inquiries. Please ensure that you've included all necessary details in your email, such as your company's full address, legal entity name, EHID or DUNS number, primary contact person's name, phone number, and business URL. This will help expedite the process. If you still don't receive a response soon, please let me know!",{}
